"brand","total_rows","form_detected_rows","confirmed_url_rows","list_filled_rows","list_empty_rows","stop_stage","top_empty_reason","top_empty_reason_count","list_item_total","list_item_detail_like","list_item_non_detail","list_item_non_detail_pct","list_item_search","list_item_category","list_item_home_or_section","list_item_other","list_item_empty","bad_url_example"
"Shark","1",,,,"1","form_detection_failed","","0","5","0","5","100","0","5","0","0","0","https://sharkninja.co.kr/product/%EC%83%A4%ED%81%AC-%ED%8C%8C%EC%9B%8C-%ED%81%B4%EB%A6%B0-360-%EB%AC%B4%EC%84%A0%EC%B2%AD%EC%86%8C%EA%B8%B0-iw4271kr/131/category/53/display/1/"
"Singha","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Skippy","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Snickers","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Solimon","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Starbucks","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"TCL","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Tempur","1",,,,"1","form_detection_failed","","0","2","0","2","100","2","0","0","0","0","https://kr.tempur.com/search?q=%ED%91%B8%ED%86%A4"
"Titleist","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"UMAX","1","0",,,"1","form_detection_failed","","0","10","0","10","100","0","0","10","0","0","https://umaxmall.com/"
"Uriage","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Weleda","1",,,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Wilson","1",,,,"1","form_detection_failed","","0","5","5","0","0","0","0","0","0","0",""
"Xbox","1",,,,"1","form_detection_failed","","0","8","0","8","100","8","0","0","0","0","https://www.xbox.com/ko-kr/Search/Results?q=Controller"
"Zamst","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Ziploc","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Zojirushi","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
