"brand","product_name_input","product_keyword1","product_keyword2","search_form_available","source_url","search_form_confirmed_url","item_rank","item_product_name","item_list_price","item_sale_price","item_url","item_image_src","item_keyword_used"
"루미르","LUMIR C 무드 램프","무드램프","C","true","https://lumir.co.kr/","https://lumir.co.kr/product/search.html?keyword=C","2","루미르R 테이블 램프 유리 무광","220,000원","","https://lumir.co.kr/product/detail.html?product_no=73&cate_no=42&display_group=1","https://lumir.co.kr/web/product/tiny/202507/651c7b9cc58239efe32ed873c24769c7.jpg","무드램프"
"루미르","LUMIR C 무드 램프","무드램프","C","true","https://lumir.co.kr/","https://lumir.co.kr/product/search.html?keyword=C","3","루미르R 테이블 램프 스틸 화이트","180,000원","","https://lumir.co.kr/product/detail.html?product_no=71&cate_no=42&display_group=1","https://lumir.co.kr/web/product/tiny/202507/18c75738031039a93941d637b405b5da.jpg","무드램프"
"루미르","LUMIR C 무드 램프","무드램프","C","true","https://lumir.co.kr/","https://lumir.co.kr/product/search.html?keyword=C","4","핸디즈_루미르 PCB","8,800원","","https://lumir.co.kr/product/detail.html?product_no=148&cate_no=79&display_group=1","https://lumir.co.kr/web/product/tiny/lumir12_1.gif","무드램프"
"일광전구","스노우맨 테이블램프","테이블램프","Table","true","https://ilkwdesign.com","https://brand.naver.com/iklamp/search?q=%ED%85%8C%EC%9D%B4%EB%B8%94%EB%9E%A8%ED%94%84","1","SNOWMAN15 Portable 3Colors","110,000원","","https://brand.naver.com/iklamp/products/9524394752","https://shop-phinf.pstatic.net/20241018_56/1729242591921prvSI_JPEG/63375527071619487_1485717945.jpg?type=f750_750","테이블램프"
"일광전구","스노우맨 테이블램프","테이블램프","Table","true","https://ilkwdesign.com","https://brand.naver.com/iklamp/search?q=%ED%85%8C%EC%9D%B4%EB%B8%94%EB%9E%A8%ED%94%84","2","SNOWMAN8 Portable 4Colors","40,000원","3,300원","https://brand.naver.com/iklamp/products/11202568021","https://shop-phinf.pstatic.net/20241213_212/17340855095460QarN_JPEG/13481304651478420_551003286.jpg?type=f750_750","테이블램프"
"일광전구","스노우맨 테이블램프","테이블램프","Table","true","https://ilkwdesign.com","https://brand.naver.com/iklamp/search?q=%ED%85%8C%EC%9D%B4%EB%B8%94%EB%9E%A8%ED%94%84","3","SNOWMAN8 Portable WARMGREY TAIL Edition","49,000원","3,300원","https://brand.naver.com/iklamp/products/12746979038","https://shop-phinf.pstatic.net/20251205_290/1764925706236JBMlr_JPEG/11064279927227909_1688313571.jpg?type=f80_80","테이블램프"
"일광전구","스노우맨 테이블램프","테이블램프","Table","true","https://ilkwdesign.com","https://brand.naver.com/iklamp/search?q=%ED%85%8C%EC%9D%B4%EB%B8%94%EB%9E%A8%ED%94%84","4","SNOWMAN22 V2 Table 3Colors","250,000원","","https://brand.naver.com/iklamp/products/10026549478","https://shop-phinf.pstatic.net/20240227_205/1708995542389ATbbv_JPEG/110131326100684139_1760898470.jpg?type=f750_750","Table"
"일광전구","스노우맨 테이블램프","테이블램프","Table","true","https://ilkwdesign.com","https://brand.naver.com/iklamp/search?q=%ED%85%8C%EC%9D%B4%EB%B8%94%EB%9E%A8%ED%94%84","5","SNOWMAN22 V2 SOLID Table 3Colors","250,000원","","https://brand.naver.com/iklamp/products/10026574490","https://shop-phinf.pstatic.net/20240227_1/1708995663088sFhcE_JPEG/110131551797517693_1879417475.jpg?type=f750_750","Table"
"잭슨카멜레온","페블 모듈 소파","모듈소파","Pebble","true","https://jacksonchameleon.co.kr/","https://jacksonchameleon.co.kr/product/search.html?keyword=Pebble","1","Pebble Module - Fabric","300,000원","","https://jacksonchameleon.co.kr/product/list.html?cate_no=166","","모듈소파"
"잭슨카멜레온","페블 모듈 소파","모듈소파","Pebble","true","https://jacksonchameleon.co.kr/","https://jacksonchameleon.co.kr/product/search.html?keyword=Pebble","2","Pebble Module - Leather","650,000원","","https://jacksonchameleon.co.kr/product/list.html?cate_no=166","","모듈소파"
"잭슨카멜레온","페블 모듈 소파","모듈소파","Pebble","true","https://jacksonchameleon.co.kr/","https://jacksonchameleon.co.kr/product/search.html?keyword=Pebble","3","Pebble Sofa - Fabric","1,460,000원","","https://jacksonchameleon.co.kr/product/list.html?cate_no=166","","모듈소파"
"잭슨카멜레온","페블 모듈 소파","모듈소파","Pebble","true","https://jacksonchameleon.co.kr/","https://jacksonchameleon.co.kr/product/search.html?keyword=Pebble","4","Pebble Sofa - Leather","3,110,000원","","https://jacksonchameleon.co.kr/product/list.html?cate_no=166","","모듈소파"
"잭슨카멜레온","페블 모듈 소파","모듈소파","Pebble","true","https://jacksonchameleon.co.kr/","https://jacksonchameleon.co.kr/product/search.html?keyword=Pebble","5","Pebble Cushion - Leather","209,000원","","https://jacksonchameleon.co.kr/product/list.html?cate_no=313","","모듈소파"
"레어로우","스틸 모듈 캐비닛","캐비닛","Cabinet","true","https://rareraw.com","https://rareraw.com/product/search.html?keyword=%EC%BA%90%EB%B9%84%EB%8B%9B","1","포그 캐비닛 하이 1도어","935,000원","748,000원","https://rareraw.com/product/list.html?cate_no=401","","캐비닛"
"레어로우","스틸 모듈 캐비닛","캐비닛","Cabinet","true","https://rareraw.com","https://rareraw.com/product/search.html?keyword=%EC%BA%90%EB%B9%84%EB%8B%9B","2","포그 캐비닛 하이 2도어","1,320,000원","1,056,000원","https://rareraw.com/product/list.html?cate_no=401","","캐비닛"
"레어로우","스틸 모듈 캐비닛","캐비닛","Cabinet","true","https://rareraw.com","https://rareraw.com/product/search.html?keyword=%EC%BA%90%EB%B9%84%EB%8B%9B","3","포그 캐비닛 로우 1도어","550,000원","440,000원","https://rareraw.com/product/list.html?cate_no=401","","캐비닛"
"레어로우","스틸 모듈 캐비닛","캐비닛","Cabinet","true","https://rareraw.com","https://rareraw.com/product/search.html?keyword=%EC%BA%90%EB%B9%84%EB%8B%9B","4","포그 캐비닛 로우 2도어","990,000원","792,000원","https://rareraw.com/product/list.html?cate_no=401","","캐비닛"
"레어로우","스틸 모듈 캐비닛","캐비닛","Cabinet","true","https://rareraw.com","https://rareraw.com/product/search.html?keyword=%EC%BA%90%EB%B9%84%EB%8B%9B","5","시스템000 유리도어 캐비닛","570,000원","","https://rareraw.com/product/list.html?cate_no=251","","캐비닛"
